Model,Metric,Fold,Score
Decision Tree,accuracy,1,0.2845782005301731
Decision Tree,accuracy,2,0.287117903930131
Decision Tree,accuracy,3,0.28446662507797876
Decision Tree,accuracy,4,0.2838427947598253
Decision Tree,accuracy,5,0.2744853399875234
Decision Tree,precision,1,0.2866678596248972
Decision Tree,precision,2,0.29042763172717556
Decision Tree,precision,3,0.28771875818686654
Decision Tree,precision,4,0.28504896195724616
Decision Tree,precision,5,0.2802633674414098
Decision Tree,recall,1,0.2845782005301731
Decision Tree,recall,2,0.287117903930131
Decision Tree,recall,3,0.28446662507797876
Decision Tree,recall,4,0.2838427947598253
Decision Tree,recall,5,0.2744853399875234
Decision Tree,f1,1,0.2845020439453356
Decision Tree,f1,2,0.2875427168964559
Decision Tree,f1,3,0.2850815178810361
Decision Tree,f1,4,0.2836171135983249
Decision Tree,f1,5,0.27628008579173186
Decision Tree,roc_auc,1,0.6473305615011362
Decision Tree,roc_auc,2,0.6489869919419118
Decision Tree,roc_auc,3,0.6469912737853419
Decision Tree,roc_auc,4,0.64610856011833
Decision Tree,roc_auc,5,0.6415009706752248
SVM,accuracy,1,0.33478871043193514
SVM,accuracy,2,0.34076731129132876
SVM,accuracy,3,0.3374922021210231
SVM,accuracy,4,0.3368683718028696
SVM,accuracy,5,0.3343730505302558
SVM,precision,1,0.33151706951793314
SVM,precision,2,0.33107377110275527
SVM,precision,3,0.330576526610376
SVM,precision,4,0.32890375719509674
SVM,precision,5,0.3324483732994915
SVM,recall,1,0.33478871043193514
SVM,recall,2,0.34076731129132876
SVM,recall,3,0.3374922021210231
SVM,recall,4,0.3368683718028696
SVM,recall,5,0.3343730505302558
SVM,f1,1,0.32569897827745786
SVM,f1,2,0.32829063156379706
SVM,f1,3,0.326578141941039
SVM,f1,4,0.32580073395864034
SVM,f1,5,0.32521886978814446
SVM,roc_auc,1,0.9151912607798237
SVM,roc_auc,2,0.9158885810059121
SVM,roc_auc,3,0.9171340275867984
SVM,roc_auc,4,0.9144656511778968
SVM,roc_auc,5,0.9162561758225087
KNN,accuracy,1,0.2281303602058319
KNN,accuracy,2,0.23159700561447286
KNN,accuracy,3,0.235495945102932
KNN,accuracy,4,0.2309731752963194
KNN,accuracy,5,0.2328446662507798
KNN,precision,1,0.24011253386294476
KNN,precision,2,0.24069143577521454
KNN,precision,3,0.24405198007765225
KNN,precision,4,0.23887620540518129
KNN,precision,5,0.24877545410916233
KNN,recall,1,0.2281303602058319
KNN,recall,2,0.23159700561447286
KNN,recall,3,0.235495945102932
KNN,recall,4,0.2309731752963194
KNN,recall,5,0.2328446662507798
KNN,f1,1,0.22375467885354136
KNN,f1,2,0.22561415812304553
KNN,f1,3,0.22959460321494937
KNN,f1,4,0.2249794783389961
KNN,f1,5,0.22948351239866613
KNN,roc_auc,1,0.7229009622191627
KNN,roc_auc,2,0.7268056030363688
KNN,roc_auc,3,0.7246286508680297
KNN,roc_auc,4,0.723056794093397
KNN,roc_auc,5,0.7260496714148068
MLP,accuracy,1,0.3407141743333853
MLP,accuracy,2,0.3379600748596382
MLP,accuracy,3,0.34903306300686215
MLP,accuracy,4,0.3343730505302558
MLP,accuracy,5,0.3282907049282595
MLP,precision,1,0.3274931585120827
MLP,precision,2,0.3197756546444023
MLP,precision,3,0.34054426090016987
MLP,precision,4,0.3148339631937375
MLP,precision,5,0.3143300365956649
MLP,recall,1,0.3407141743333853
MLP,recall,2,0.3379600748596382
MLP,recall,3,0.34903306300686215
MLP,recall,4,0.3343730505302558
MLP,recall,5,0.3282907049282595
MLP,f1,1,0.3217056481816145
MLP,f1,2,0.31484561680764606
MLP,f1,3,0.3317824964703521
MLP,f1,4,0.31099343240987803
MLP,f1,5,0.30622927067881295
MLP,roc_auc,1,0.9199311710827599
MLP,roc_auc,2,0.9162544502024494
MLP,roc_auc,3,0.9226685483474366
MLP,roc_auc,4,0.9168661625980791
MLP,roc_auc,5,0.9181776659953119
LVQ,accuracy,1,0.008552631578947369
LVQ,accuracy,2,0.008771929824561403
LVQ,accuracy,3,0.008771929824561403
LVQ,accuracy,4,0.008698830409356725
LVQ,accuracy,5,0.008845675853498063
LVQ,precision,1,0.0
LVQ,precision,2,0.0
LVQ,precision,3,0.0
LVQ,precision,4,0.0
LVQ,precision,5,0.0
LVQ,recall,1,0.0
LVQ,recall,2,0.0
LVQ,recall,3,0.0
LVQ,recall,4,0.0
LVQ,recall,5,0.0
LVQ,f1,1,0.0
LVQ,f1,2,0.0
LVQ,f1,3,0.0
LVQ,f1,4,0.0
LVQ,f1,5,0.0
LVQ,roc_auc,1,1.0
LVQ,roc_auc,2,1.0
LVQ,roc_auc,3,1.0
LVQ,roc_auc,4,1.0
LVQ,roc_auc,5,1.0
